Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"Oct. 28, 2018","Oct. 28, 2018",Run,2783,20.1711,11599,9.58385,5.83938,6.26053,10.2751,0,30021,Birthday run. Ran in brooks. 43-55 degrees,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3222608275
"Oct. 22, 2018","Oct. 22, 2018",Run,588,4.28548,2171,8.44324,3.62388,7.10628,16.5568,0,5677,Did burpees and sprint work in miles 2-3. Ran in Mizuno's.,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3214042591
"Oct. 20, 2018","Oct. 20, 2018",Run,710,5.1107,2253,7.34733,4.76073,8.16623,12.6031,0,5966,New 4 mile PR. Ran in Brooke's.,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3210650485
"Oct. 19, 2018","Oct. 19, 2018",Run,594,4.24475,1897,7.44842,4.74054,8.0554,12.6568,0,5017,29:16 for first 4 miles. Ran in Mizuno's. knee still hurts a bit. 70 degrees.,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3209153758
"Oct. 19, 2018","Oct. 19, 2018",Run,428,3.11398,1267,6.78125,4.70601,8.84793,12.7497,0,3382,New 5k PR,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3207814222
"Oct. 17, 2018","Oct. 17, 2018",Run,333,2.37853,1083,7.58871,5.35978,7.90648,11.1945,0,2859,Warmup for gym. 60 degrees. Ran in Mizuno's.,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3204989983
"Oct. 15, 2018","Oct. 15, 2018",Run,1005,7.2081,3382,7.8199,4.59892,7.67273,13.0466,0,8903,Nice and cool outside. Day after spartan super. Really happy with pace. Ran in brooks.,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3202170763
"Oct. 14, 2018","Oct. 14, 2018",Run,1139,9.20155,7040,12.7515,4.73738,4.70534,12.6652,0,17877,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3199738813
"Oct. 10, 2018","Oct. 10, 2018",Run,432,3.09271,1432,7.71708,5.11775,7.77497,11.7239,0,3774,"Decent 5k, 80 degrees or so",Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3193730392
"Oct. 8, 2018","Oct. 8, 2018",Run,242,1.72548,783,7.56312,4.91058,7.93324,12.2185,0,2068,Warmup for gym,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/3190052485
